"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"29/11/2024";4868542138;"PB";"Nota Fiscal";"100204";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";70939472;53332131;"02/10/2024";"DOBRADA ROSANE MATERIAS IMPRESSOS";"1238,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"29/11/2024";4868542138;"PB";"Nota Fiscal";"92604";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";70939473;53332148;"26/09/2024";"DOBRADA JAQUELINE MATERIAIS IMPRESSOS";"1238,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"29/11/2024";4868542138;"PB";"Nota Fiscal";"92603";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";70939612;53332177;"26/09/2024";"MATERIAIS GRÁFICOS KENIA MANUELA";"1238,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"29/11/2024";4868542138;"PB";"Nota Fiscal";"93006";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";70939096;53332060;"30/09/2024";"ADESIVO PARA CARRO FORMATO 150X400MM PERSONALIZADO | ADESIVO PERFURADO PERFURADO PERSONALIZADO | BANDEIRA FORMATO 700X1000MM PERSONALIZADO | COLINHAS FORMATO 68X95MM PERSONALIZADO | PRAGUINHAS FORMATO 68X68MM ADESIVO PERSONALIZADO | SANTAO FORMATO 95...";"1238,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"29/11/2024";4868542138;"PB";"Nota Fiscal";"93003";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";70939207;53332173;"30/09/2024";"ADESIVO CARRO 150X400MM ERIKA DA ROCHA | ADESIVO PERFURADO 330X800MM ERIKA DA ROCHA | BANDEIRA 700X1000MM ERIKA DA ROCHA | COLINHAS 68X95MM ERIKA DA ROCHA | PRAGUINHAS 68X68MM ERIKA DA ROCHA | SANTAO 95X136MM ERIKA DA ROCHA | SANTINHOS 68X95MM ERIKA ...";"1238,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"29/11/2024";4868542138;"PB";"Nota Fiscal";"93008";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";70939297;53332123;"30/09/2024";"ADESIVO CARRO 150X400MM JOAO BATISTA | ADESIVO PERFURADO 330X800MM JOAO BATISTA | BANDEIRA 700X1000MM JOAO BATISTA  | COLINHAS 68X95MM JOAO BATISTA | PRAGUINHAS 68X68MM JOAO BATISTA  | SANTAO 95X136MM JOAO BATISTA  | SANTINHOS 68X95MM JOAO BATISTA";"1238,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"29/11/2024";4868542138;"PB";"Nota Fiscal";"100103";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";70939353;53332054;"01/10/2024";"ADESIVO PARA CARRO FORMATO 150X400MM PERSONALIZADO | ADESIVO PERFURADO PERFURADO PERSONALIZADO | BANDEIRA FORMATO 700X1000MM PERSONALIZADO | COLINHAS FORMATO 68X95MM PERSONALIZADO | PRAGUINHAS FORMATO 68X68MM ADESIVO PERSONALIZADO | SANTAO FORMATO 95...";"1238,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"29/11/2024";4868542138;"PB";"Nota Fiscal";"93001";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";70939381;53332154;"30/09/2024";"DOBRADA EMMANUELE MATERIAIS IMPRESSOS";"1238,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"29/11/2024";4868542138;"PB";"Nota Fiscal";"93001";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";70939385;53332168;"30/09/2024";"ADESIVO CARRO 150X400MM ALANEE MAGNA | ADESIVO PERFURADO 330X800MM ALANEE MAGNA | BANDEIRA 700X1000MM ALANEE MAGNA  | COLINHAS 68X95MM ALANEE MAGNA | PRAGUINHAS 68X68MM ALANEE MAGNA | SANTAO 95X136MM ALANEE MAGNA | SANTINHOS 68X95MM ALANEE MAGNA";"1238,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"29/11/2024";4868542138;"PB";"Nota Fiscal";"92602";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";70939464;53332068;"26/09/2024";"ADESIVO PARA CARRO FORMATO 150X400MM PERSONALIZADO | ADESIVO PERFURADO PERFURADO PERSONALIZADO | BANDEIRA FORMATO 700X1000MM PERSONALIZADO | COLINHAS FORMATO 68X95MM PERSONALIZADO | PRAGUINHAS FORMATO 68X68MM ADESIVO PERSONALIZADO | SANTAO FORMATO 95...";"1238,00"
