"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"19/11/2024";4994528759;"PR";"Outro";"SN";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";6;"Boleto de cobrança";70473804;52891955;"25/09/2024";"CONTRATO DE CONTABILIDADE ELEITORAL";"2957,50"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"19/11/2024";4994528759;"PR";"Outro";"83001";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";6;"Boleto de cobrança";70473804;52891956;"30/08/2024";"CONTRATO DE CONTABILIDADE ELEITORAL";"2957,50"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"19/11/2024";4994528759;"PR";"Outro";"101701";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";70473805;52891951;"17/10/2024";"SERVICOS CONTABEIS DOS CANDIDATOS REPUBLICANOS A";"77,96"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"19/11/2024";4994528759;"PR";"Outro";"101701";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";70473805;52891952;"17/10/2024";"SERVICOS CONTABEIS DOS CANDIDATOS REPUBLICANOS A";"77,96"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"19/11/2024";4994528759;"PR";"Outro";"SN";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";6;"Boleto de cobrança";70473805;52891953;"25/09/2024";"SERVICOS CONTABEIS DOS CANDIDATOS REPUBLICANOS A";"1189,54"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"19/11/2024";4994528759;"PR";"Outro";"SN";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";6;"Boleto de cobrança";70473805;52891954;"30/08/2024";"SERVICOS CONTABEIS DOS CANDIDATOS REPUBLICANOS A";"1189,54"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"05/11/2024";5044694556;"PR";"Outro";"PIX";2;"Fundo Especial de Financiamento de Campanha";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";67324642;49872547;"10/09/2024";"SERVIÇOS DE CONTABILIDADE";"2200,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"05/11/2024";5044694556;"PR";"Outro";"PIX";2;"Fundo Especial de Financiamento de Campanha";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";67324642;49872548;"10/09/2024";"SERVIÇOS DE CONTABILIDADE";"1100,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"28/10/2024";4995704683;"PR";"Nota Fiscal";"152026817780617";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";19;"PIX";63468379;46270432;"30/09/2024";"22123 VER - ADESIVO RETANGULAR 10X30CM - 4 CORES | 22222 VER - ADESIVO RETANGULAR 10X30CM - 4 CORES | 22333 VER - ADESIVO RETANGULAR 10X30CM - 4 CORES";"63,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"05/11/2024";4971608582;"PR";"#NULO";"#NULO";1;"Outros Recursos";20210000;"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";1;"Financeiro";8;"Débito em conta";67042640;49611428;"01/10/2024";"TAR D CH AG";"1,80"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"16/07/2025";4868554859;"PR";"Nota Fiscal";"E0000000020241011200049";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";72795285;55195676;"11/10/2024";"WIND BANNER-  RENATA PEDRITA | WIND BANNER- JOCILIANE PIMENTEL | WIND BANNER- LAYANE CRISTINA CAETANO  | WIND BANNER- MARCIA REGINA DOS SANTOS | WIND BANNER- MARIZA PIOLA | WIND BANNER- PASTORA RO | WIND BANNER- PATRICIA FIRMINO | WIND BANNER- ROSANG...";"9936,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"16/07/2025";4868554859;"PR";"Nota Fiscal";"E0000000020241014175533";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";72795271;55195677;"14/10/2024";"WIND BANNER- ALDRIAN MATOSO | WIND BANNER- ANDREI GONDRO | WIND BANNER- BIG BIG | WIND BANNER- CARLOS ALBERTO | WIND BANNER- CRISTIANO LOURENCO DE LIMA | WIND BANNER- KLEITON NOVAIS | WIND BANNER- LEO DA KOMBI | WIND BANNER- LUIZ CARLOS PICHIN | WIND...";"19872,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"02/06/2025";4959267838;"PR";"Outro";"850007";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";0;"Cheque";72547136;54938555;"12/11/2024";"SERVIÇOS DE PRESTAÇÃO DE CONTAS ELEITORAIS";"200,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"07/11/2024";5031567225;"PR";"Outro";"091202";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";66524596;49123228;"12/09/2024";"SERVIÇOS CONTABEIS";"1500,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"19/11/2024";4957504421;"PR";"Outro";"110502";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";70445702;52864695;"05/11/2024";"PRESTAÇÃO DE SERVIÇOS CONTÁBEIS";"250,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"30/05/2025";5081710289;"PR";"Outro";"8500002";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";0;"Cheque";72536988;54932279;"25/10/2024";"SERVIÇOS DE PRESTAÇÃO DE CONTAS ELEITORAIS";"200,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"05/11/2024";4983361324;"PR";"Outro";"261526";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";67462037;50002507;"26/09/2024";"PRESTAÇÃO DE CONTAS ELEITORAIS";"200,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"01/07/2025";4923427459;"PR";"Outro";"91601";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";19;"PIX";72709562;55110744;"16/09/2024";"PRESTAÇÃO DE SERVIÇOS";"2500,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"01/07/2025";4923427459;"PR";"Outro";"13105";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";19;"PIX";72709557;55110745;"13/09/2024";"PRESTAÇÃO DE SERVIÇOS";"2500,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"01/07/2025";4923427459;"PR";"Outro";"91301";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";19;"PIX";72709563;55110746;"13/09/2024";"PRESTAÇÃO DE SERVIÇOS ADMINISTRATIVOS";"3000,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"01/07/2025";4923427459;"PR";"Outro";"92001";2;"Fundo Especial de Financiamento de Campanha";20010000;"Despesas com pessoal";1;"Financeiro";19;"PIX";72709564;55110747;"20/09/2024";"PRESTAÇÃO DE SERVIÇOS";"1200,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"18/11/2024";5009815786;"PR";"Outro";"92501";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";6;"Boleto de cobrança";69882865;52321856;"25/09/2024";"CONTRATO DE CONTABILIDADE ELEITORAL";"5915,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"18/11/2024";5009815786;"PR";"Outro";"SN";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";6;"Boleto de cobrança";69882866;52321854;"14/10/2024";"CONTRATO DE CONTABILIDADE ELEITORAL";"155,91"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"18/11/2024";5009815786;"PR";"Outro";"92501";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";6;"Boleto de cobrança";69882866;52321855;"25/09/2024";"CONTRATO DE CONTABILIDADE ELEITORAL";"2379,09"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"19/11/2024";4998057565;"PR";"Outro";"850004";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";0;"Cheque";70447131;52864636;"04/11/2024";"PRESTAÇÃO DE SERVIÇOS CONTÁBEIS";"250,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"01/11/2024";5038227469;"PR";"Outro";"90401";2;"Fundo Especial de Financiamento de Campanha";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";65367997;48023326;"04/09/2024";"PRESTAÇÃO DE SERVIÇOS DE CONTABILIDADE";"3000,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"01/11/2024";5038227469;"PR";"Outro";"90501";2;"Fundo Especial de Financiamento de Campanha";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";65367997;48023327;"05/09/2024";"PRESTAÇÃO DE SERVIÇOS DE CONTABILIDADE";"480,00"
