"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"07/11/2024";4868557628;"RJ";"Nota Fiscal";"101002";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";68872481;51337319;"10/10/2024";"SANTINHO 6X9 PREF E VER ANDREZIHNO O AMIGO DO POVO | SANTINHOS 6X9 PREF E VER CLAUDIO MARTINS | SANTINHOS 6X9 PREF E VER DHIONATHAM | SANTINHOS 6X9 PREF E VER GRANDE | SANTINHOS 6X9 PREF E VER LEO BRAZAO | SANTINHOS 6X9 PREF E VER MARCELO DO FUSQUINH...";"7875,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"07/11/2024";4868557628;"RJ";"Nota Fiscal";"102201";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";68872319;51337311;"22/10/2024";"SANTINHO10X10PREFVER AGNALDO ANTUNES | SANTINHO10X10PREFVER ANDREZINHO O AMIGO DO POVO | SANTINHO10X10PREFVER DHIONATAM DOS SANTOS | SANTINHO10X10PREFVER GILSON JARDIM PROTETOR | SANTINHO10X10PREFVER GRANDE  | SANTINHO10X10PREFVER LEO BRAZÃO | SANTIN...";"4650,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"07/11/2024";4868557628;"RJ";"Nota Fiscal";"102501";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";68872399;51337317;"25/10/2024";"CARTAO 9X5 PREF E VER AGNALDO ANTUNES | CARTAO 9X5 PREF E VER ANDREZINHO O AMIGO DO POVO | CARTAO 9X5 PREF E VER DHIONATAM DOS SANTOS | CARTAO 9X5 PREF E VER GILSON JARDIM PROTETOR | CARTAO 9X5 PREF E VER GRANDE | CARTAO 9X5 PREF E VER LEO BRAZAO | C...";"6400,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"19/11/2024";4868537202;"RJ";"Nota Fiscal";"2509";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";70483444;52899693;"25/09/2024";"ADESIVO 40  | CARTAO 9X5  | SANTOES 14X20";"14543,57"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"19/11/2024";4868537202;"RJ";"Nota Fiscal";"2509";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";70483445;52899692;"25/09/2024";"CARTOES VEREADORES";"1140,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Parcial";"24/09/2024";4868554987;"RJ";"Nota Fiscal";"1844537";2;"Fundo Especial de Financiamento de Campanha";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";56964069;41496028;"09/09/2024";"ADESIVOS 40X15 CANDIDATA LIVIA SÁ | BANDEIRAS 150X100 CANDIDATA LIVIA SÁ | CARTÕES 9X5 | PERFURADOS CANDIDATA LIVIA SÁ | PRAGÃO 10X10 (MOD 1 ) CANDIDATA LIVIA SÁ | PRAGÃO 10X10 (MOD 2) CANDIDATA LIVIA SÁ | SANTÃO 10X15 CANDIDATA LIVIA SÁ";"2210,50"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"01/11/2024";4909911302;"RJ";"Outro";"100401";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";65283652;47944933;"04/10/2024";"SERVIÇOS DE ELABORAÇÃO DE PRESTAÇÃO DE CONTAS ELEI";"2000,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"23/11/2024";5038221695;"RJ";"Nota Fiscal";"121338";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";19;"PIX";70701350;53103018;"12/11/2024";"ADESIVOS";"260,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"23/11/2024";5038221695;"RJ";"Nota Fiscal";"121334";1;"Outros Recursos";20110000;"Publicidade por adesivos";1;"Financeiro";19;"PIX";70701320;53103015;"12/11/2024";"ADESIVOS LEITOSO";"1620,00"
"17/07/2025";"23:00:22";2024;2;"Ordinária";"Final";"02/11/2024";4932240328;"RJ";"Outro";"2752A23FD107C7EA";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";64685418;47401310;"28/10/2024";"SERVIÇOS CONTABEIS";"1000,00"
