Nó,Degree,Nó,Eigenvector,Nó,Closeness,Nó,Betweenness
UNIÃO,0.24324324324324326,PODE,0.7376928747424304,UNIÃO,0.24324324324324326,MARCELO OLIVEIRA MAIA,0.0
PODE,0.1891891891891892,UNIÃO,0.4284864129495596,PODE,0.1891891891891892,PODE,0.0
PSDB,0.1891891891891892,PP,0.014519417770087022,PSDB,0.1891891891891892,PAULO CESAR DE AMORIM ALENCAR,0.0
PSD,0.08108108108108109,PSDB,0.0029048896986525723,PSD,0.08108108108108109,PP,0.0
PP,0.05405405405405406,ANTONIO WAGNER CARVALHO DE LUCENA,9.104559609131885e-34,PP,0.05405405405405406,JARDEL RAIRAN DA SILVA ANSELMO,0.0
OZAIDE CORDEIRO TORRES,0.05405405405405406,MARIA LUCIA FERREIRA DOS SANTOS,5.1430491600005765e-34,PL,0.05405405405405406,UNIÃO,0.0
PL,0.05405405405405406,JOAO CLAUDIO FERNANDES DANTAS,4.851135427207907e-34,REPUBLICANOS,0.05405405405405406,OZAIDE CORDEIRO TORRES,0.0
REPUBLICANOS,0.05405405405405406,JESSICA CRISLAINNY VALE LUCENA,4.293949324508808e-34,MARCELO OLIVEIRA MAIA,0.0,PL,0.0
MARCELO OLIVEIRA MAIA,0.02702702702702703,PAULO CESAR DE AMORIM ALENCAR,4.143926160299502e-34,PAULO CESAR DE AMORIM ALENCAR,0.0,MARIA DE FATIMA LEITE GONCALVES,0.0
PAULO CESAR DE AMORIM ALENCAR,0.02702702702702703,IGOR RAYAN FERREIRA COSTA OLIVEIRA E SILVA,3.282486679998245e-34,JARDEL RAIRAN DA SILVA ANSELMO,0.0,PSD,0.0
