"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"30/06/2025";4868555198;"AL";"Outro";"900031";1;"Outros Recursos";20120000;"Serviços prestados por terceiros";1;"Financeiro";0;"Cheque";72705463;55106125;"05/10/2024";"SERVIÇO DE FISCAL";"130,00"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"30/06/2025";4868555198;"AL";"Outro";"81509";1;"Outros Recursos";20120000;"Serviços prestados por terceiros";1;"Financeiro";19;"PIX";72705480;55106136;"08/10/2024";"SERVIÇO DE FISCAL";"130,00"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"30/06/2025";4868555198;"AL";"Outro";"900044";1;"Outros Recursos";20120000;"Serviços prestados por terceiros";1;"Financeiro";0;"Cheque";72705343;55106141;"05/10/2024";"SERVIÇO DE FISCAL";"130,00"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"30/06/2025";4868555198;"AL";"Outro";"81608";1;"Outros Recursos";20120000;"Serviços prestados por terceiros";1;"Financeiro";19;"PIX";72707737;55106171;"08/10/2024";"SERVIÇO DE FISCAL";"130,00"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"30/06/2025";4868555198;"AL";"Outro";"81641";1;"Outros Recursos";20120000;"Serviços prestados por terceiros";1;"Financeiro";19;"PIX";72705352;55106201;"08/10/2024";"SERVIÇO DE FISCAL";"130,00"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"30/06/2025";4868555198;"AL";"Outro";"81716";1;"Outros Recursos";20120000;"Serviços prestados por terceiros";1;"Financeiro";19;"PIX";72705389;55106214;"08/10/2024";"SERVIÇO DE FISCAL";"130,00"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"30/06/2025";4868555198;"AL";"Outro";"81721";1;"Outros Recursos";20120000;"Serviços prestados por terceiros";1;"Financeiro";19;"PIX";72705390;55106221;"08/10/2024";"SERVIÇO DE FISCAL";"130,00"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"30/06/2025";4868555198;"AL";"Outro";"82039";1;"Outros Recursos";20120000;"Serviços prestados por terceiros";1;"Financeiro";19;"PIX";72705371;55106295;"08/10/2024";"SERVIÇO DE FISCAL";"130,00"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"30/06/2025";4868555198;"AL";"Outro";"82034";1;"Outros Recursos";20120000;"Serviços prestados por terceiros";1;"Financeiro";19;"PIX";72707727;55106304;"08/10/2024";"SERVIÇO DE FISCAL";"130,00"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"30/06/2025";4868555198;"AL";"Outro";"81843";1;"Outros Recursos";20120000;"Serviços prestados por terceiros";1;"Financeiro";19;"PIX";72705420;55106317;"08/10/2024";"SERVIÇO DE FISCAL";"130,00"
