"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"13/03/2025";4868542061;"PE";"Nota Fiscal";"00000125632";2;"Fundo Especial de Financiamento de Campanha";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";71879149;54255556;"05/09/2024";"SERVIÇO DE PRESTACAO DE CONTA ELEITORAL 2024";"20000,00"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"07/04/2025";4868542038;"PE";"Nota Fiscal";"101107";0;"Fundo Partidário";20100000;"Combustíveis e lubrificantes";1;"Financeiro";6;"Boleto de cobrança";72132137;54486419;"11/10/2024";"DESPESAS COM COMBUSTÍVEL";"199,38"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"07/04/2025";4868542038;"PE";"Nota Fiscal";"45868290000128";0;"Fundo Partidário";20010000;"Despesas com pessoal";1;"Financeiro";19;"PIX";72132236;54486468;"20/09/2024";"OUTRAS DESPESAS";"500,00"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"07/04/2025";4868542038;"PE";"Nota Fiscal";"11601181002105";0;"Fundo Partidário";20100000;"Combustíveis e lubrificantes";1;"Financeiro";19;"PIX";72132148;54486492;"23/09/2024";"DESPESAS COM COMBUSTÍVEL";"153,29"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"07/04/2025";4868542038;"PE";"Nota Fiscal";"101110";0;"Fundo Partidário";20100000;"Combustíveis e lubrificantes";1;"Financeiro";6;"Boleto de cobrança";72132173;54486511;"11/10/2024";"DESPESAS COM COMBUSTÍVEL";"167,78"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"07/04/2025";4868542038;"PE";"Nota Fiscal";"101105";0;"Fundo Partidário";20100000;"Combustíveis e lubrificantes";1;"Financeiro";6;"Boleto de cobrança";72132175;54486516;"11/10/2024";"DESPESAS COM COMBUSTÍVEL";"168,60"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"07/04/2025";4868542038;"PE";"Nota Fiscal";"81901";0;"Fundo Partidário";20100000;"Combustíveis e lubrificantes";1;"Financeiro";1;"Transferência eletrônica";72132151;54486522;"19/08/2024";"DESPESAS COM COMBUSTÍVEL";"154,80"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"07/04/2025";4868542038;"PE";"Nota Fiscal";"90601";0;"Fundo Partidário";20100000;"Combustíveis e lubrificantes";1;"Financeiro";1;"Transferência eletrônica";72132153;54486532;"06/09/2024";"DESPESAS COM COMBUSTÍVEL";"111,81"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"07/04/2025";4868542038;"PE";"Nota Fiscal";"91306";0;"Fundo Partidário";20100000;"Combustíveis e lubrificantes";1;"Financeiro";6;"Boleto de cobrança";72132232;54486418;"13/09/2024";"DESPESAS COM COMBUSTÍVEL";"625,46"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"07/04/2025";4868542038;"PE";"Nota Fiscal";"11601184002105";0;"Fundo Partidário";20100000;"Combustíveis e lubrificantes";1;"Financeiro";19;"PIX";72132143;54486450;"23/08/2024";"CONSUMO DE COMBUSTIVEL CONF NOTA FISCAL";"342,55"
