"DT_GERACAO";"HH_GERACAO";"AA_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"10/10/2024";4868539527;"SC";"Outro";"93001";1;"Outros Recursos";20040000;"Locação/cessão de bens imóveis";1;"Financeiro";19;"PIX";61340548;44416599;"30/09/2024";"LOCAÇÃO DE SALA";"866,56"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"10/10/2024";4868539527;"SC";"Outro";"93002";1;"Outros Recursos";20040000;"Locação/cessão de bens imóveis";1;"Financeiro";19;"PIX";61340548;44416600;"30/09/2024";"LOCAÇÃO DE SALA";"866,58"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"06/03/2025";5077009782;"SC";"Nota Fiscal";"93001";1;"Outros Recursos";20140000;"Publicidade por materiais impressos";1;"Financeiro";19;"PIX";71854960;54228505;"30/09/2024";"BANDEIRA SUBLIMADA";"284,40"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"14/10/2024";5191456042;"SC";"Nota Fiscal";"090902";1;"Outros Recursos";20360001;"Serviços advocatícios";1;"Financeiro";19;"PIX";61843216;44822285;"09/09/2024";"SERVIÇOS JURICOS NAS ELEIÇÕES MUNICIPAIS 2024";"900,00"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"13/10/2024";4868532982;"SC";"Fatura";"6";1;"Outros Recursos";20070000;"Locação/cessão de bens móveis (exceto veículos)";1;"Financeiro";6;"Boleto de cobrança";61770435;44764566;"28/08/2024";"LOCAÇÃO DE IMPRESSORA MULTIFUNCIONAL EPSON";"155,00"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"16/10/2024";4995619653;"SC";"Outro";"10601";1;"Outros Recursos";20360002;"Serviços contábeis";1;"Financeiro";19;"PIX";62226840;45157710;"16/10/2024";"ASSESSORIA CONTABIL ELEIÇÕES 2024";"100,00"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"25/10/2024";4868538757;"SC";"Nota Fiscal";"90602";1;"Outros Recursos";20100000;"Combustíveis e lubrificantes";1;"Financeiro";19;"PIX";63626428;46421238;"06/09/2024";"1291 GASOLINA COMUM";"88,35"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"25/10/2024";4868538757;"SC";"Nota Fiscal";"90602";1;"Outros Recursos";20100000;"Combustíveis e lubrificantes";1;"Financeiro";19;"PIX";63626465;46421241;"06/09/2024";"3032 GASOLINA COMUM";"88,35"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"25/10/2024";4868538757;"SC";"Nota Fiscal";"90602";1;"Outros Recursos";20100000;"Combustíveis e lubrificantes";1;"Financeiro";19;"PIX";63626429;46421245;"06/09/2024";"1363 GASOLINA COMUM";"88,35"
"19/07/2025";"23:00:15";2024;2;"Ordinária";"Final";"25/10/2024";4868538757;"SC";"Nota Fiscal";"100201";1;"Outros Recursos";20100000;"Combustíveis e lubrificantes";1;"Financeiro";19;"PIX";63626468;46421250;"02/10/2024";"5236 GASOLINA COMUM | 5236 GASOLINA COMUM";"176,70"
